cluster_id,cluster_size
Cluster 34430,4
Cluster 15533,4
Cluster 7605,4
Cluster 43513,4
Cluster 65881,4
Cluster 61645,4
Cluster 13805,4
Cluster 55809,4
Cluster 63649,4
Cluster 20549,4
Cluster 30976,4
Cluster 36689,4
Cluster 50227,4
Cluster 5755,4
Cluster 15046,4
Cluster 12195,4
Cluster 10938,4
Cluster 49519,4
Cluster 16540,4
Cluster 31668,4
Cluster 37545,4
Cluster 10015,4
Cluster 43511,4
Cluster 14275,4
Cluster 27229,4
Cluster 12375,4
Cluster 39870,4
Cluster 54748,4
Cluster 71849,4
Cluster 2220,4
Cluster 33055,4
Cluster 9342,4
Cluster 31315,4
Cluster 33051,4
Cluster 31637,4
Cluster 39877,4
Cluster 30157,4
Cluster 3478,4
Cluster 14928,4
Cluster 24033,4
Cluster 21836,4
Cluster 17680,4
Cluster 23756,4
Cluster 4558,4
Cluster 63365,4
Cluster 19474,4
Cluster 37036,4
Cluster 34033,4
Cluster 50200,4
Cluster 36952,4
Cluster 4869,4
Cluster 17528,4
Cluster 15422,4
Cluster 10050,4
Cluster 12369,4
Cluster 27124,4
Cluster 33366,4
Cluster 53580,4
Cluster 23773,4
Cluster 45575,4
Cluster 28805,4
Cluster 25344,4
Cluster 37049,4
Cluster 68060,4
Cluster 55716,4
Cluster 29707,4
Cluster 33631,4
Cluster 31100,4
Cluster 23742,4
Cluster 16563,4
Cluster 3316,4
Cluster 42880,4
Cluster 3657,4
Cluster 1087,4
Cluster 1429,4
Cluster 16744,4
Cluster 15669,4
Cluster 49536,4
Cluster 55679,4
Cluster 10879,4
Cluster 51083,4
Cluster 25293,4
Cluster 30577,4
Cluster 46024,4
Cluster 27247,4
Cluster 20521,4
Cluster 12109,4
Cluster 26089,4
Cluster 29320,4
Cluster 18490,4
Cluster 7554,4
Cluster 3248,4
Cluster 4354,4
Cluster 49589,4
Cluster 14933,4
Cluster 13879,4
Cluster 33041,4
Cluster 30160,4
Cluster 67161,4
Cluster 19313,4
Cluster 23980,4
Cluster 5130,4
Cluster 30543,4
Cluster 19447,4
Cluster 66663,4
Cluster 34053,4
Cluster 41025,4
Cluster 28472,4
Cluster 55603,4
Cluster 3341,4
Cluster 21309,4
Cluster 15506,4
Cluster 46454,4
Cluster 12555,4
Cluster 9468,4
Cluster 20300,4
Cluster 32405,4
Cluster 62935,4
Cluster 34416,4
Cluster 38965,4
Cluster 11059,4
Cluster 13643,4
Cluster 46129,4
Cluster 70619,4
Cluster 8061,4
Cluster 2807,4
Cluster 66537,4
Cluster 19545,4
Cluster 43652,4
Cluster 29605,4
Cluster 36166,4
Cluster 1437,4
Cluster 460,4
Cluster 6654,4
