cluster_id,cluster_size
Cluster 46192,4
Cluster 4520,4
Cluster 10879,4
Cluster 23547,4
Cluster 9745,4
Cluster 46353,4
Cluster 24478,4
Cluster 31901,4
Cluster 3390,4
Cluster 16175,4
Cluster 18798,4
Cluster 26585,4
Cluster 26627,4
Cluster 45806,4
Cluster 16317,4
Cluster 18637,4
Cluster 14257,4
Cluster 42574,4
Cluster 46195,4
Cluster 1429,4
Cluster 25255,4
Cluster 37837,4
Cluster 9329,4
Cluster 57738,4
Cluster 45197,4
Cluster 7246,4
Cluster 26603,4
Cluster 46186,4
Cluster 42604,4
Cluster 23273,4
Cluster 9455,4
Cluster 7221,4
Cluster 23807,4
Cluster 18262,4
Cluster 5749,4
Cluster 3222,4
Cluster 26595,4
Cluster 52220,4
Cluster 10865,4
Cluster 14514,4
Cluster 34027,4
Cluster 15909,4
Cluster 5750,4
Cluster 25974,4
Cluster 4588,4
Cluster 14910,4
Cluster 7499,4
