C,gamma,w_pos,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,MCC_mean,MCC_std,ACC_mean,ACC_std
0.01,0.02985382618917957,3.0,0.7736016244753312,0.013571739500565418,0.5665538370503584,0.03640769593889512,0.010406586877175114,0.005817575027694738,0.6,0.4183300132670378,0.0052545579635362915,0.002937446210912448,0.0413417723359351,0.029609256702841227,0.750655744754042,0.0008979235280255353
0.01,0.02985382618917957,4.0,0.7359699285374414,0.006589880317459884,0.5069045747864822,0.03705560025662345,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.05623413251903485,1.0,0.5540551675256934,0.01015261594066324,0.29365009090516003,0.019266356549219543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.05623413251903485,1.5,0.5618571079940132,0.010337938410518437,0.2999592647270598,0.020136543113110292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.05623413251903485,2.0,0.5671479182274441,0.009940191552962026,0.30452656123511823,0.01784764630551932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.05623413251903485,2.5,0.5708922534874737,0.009536878800626663,0.3087821896198314,0.01859852290561627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.05623413251903485,3.0,0.6219748964201842,0.004856767013911709,0.3600433719975778,0.02573082650417634,0.010406586877175114,0.005817575027694738,0.6,0.4183300132670378,0.0052545579635362915,0.002937446210912448,0.0413417723359351,0.029609256702841227,0.750655744754042,0.0008979235280255353
0.01,0.05623413251903485,4.0,0.5757626587565443,0.008632900691856767,0.3128710280076131,0.01988924898756904,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.10592537251772875,1.0,0.5108396752279026,0.005251785327541315,0.2633039005742084,0.005772870148964781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.10592537251772875,1.5,0.5138538560149837,0.005259350996862736,0.2659060842741191,0.007163801049417692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.10592537251772875,2.0,0.515133576698271,0.003511786482892033,0.266852519744113,0.0065583812392774775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.10592537251772875,2.5,0.5151379049531186,0.0035162179149942157,0.26711622135055213,0.00685052293696055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.10592537251772875,3.0,0.5277113494478354,0.010049393636131712,0.2759513713652937,0.012454581782736517,0.010406586877175114,0.005817575027694738,0.6,0.4183300132670378,0.0052545579635362915,0.002937446210912448,0.0413417723359351,0.029609256702841227,0.750655744754042,0.0008979235280255353
0.01,0.10592537251772875,4.0,0.5151306911950392,0.0035074322522790987,0.266851977820936,0.006557539367178044,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.19952623149688797,1.0,0.5026172361756871,0.003908420255330875,0.25575859673593315,0.001992469151035871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.19952623149688797,1.5,0.5026172361756871,0.003908420255330875,0.25575859673593315,0.001992469151035871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.19952623149688797,2.0,0.5028350916696851,0.003509973870246117,0.2558396156300938,0.0018521907472183105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.19952623149688797,2.5,0.5028350916696851,0.003509973870246117,0.2558396156300938,0.0018521907472183105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.19952623149688797,3.0,0.5054422002948137,0.002571063871748326,0.25870115614053113,0.0022251514647241384,0.010406586877175114,0.005817575027694738,0.6,0.4183300132670378,0.0052545579635362915,0.002937446210912448,0.0413417723359351,0.029609256702841227,0.750655744754042,0.0008979235280255353
0.01,0.19952623149688797,4.0,0.5028322061664534,0.003511751125411134,0.2558390737069168,0.0018513070568279525,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.02282092971067451,0.0001,1.0,0.8790238402966646,0.011968676312333306,0.7802783871793034,0.017458467278160916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0001,1.5,0.8843874175620515,0.012260944942720729,0.7839155472717853,0.01877633646051807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
