cluster_id,total_selected,folds_covered
Cluster 15025,1,1
Cluster 15031,1,1
Cluster 15034,1,1
Cluster 15037,1,1
Cluster 1504,1,1
Cluster 15040,1,1
Cluster 15043,1,1
Cluster 15055,1,1
Cluster 15065,1,1
Cluster 15067,1,1
Cluster 15080,1,1
Cluster 15086,1,1
Cluster 15087,1,1
Cluster 1509,1,1
Cluster 15091,1,1
Cluster 15095,1,1
Cluster 15104,1,1
Cluster 15108,1,1
Cluster 15115,1,1
Cluster 15116,1,1
Cluster 15130,1,1
Cluster 15136,1,1
Cluster 1514,1,1
Cluster 15143,1,1
Cluster 15173,1,1
Cluster 15175,1,1
Cluster 1518,1,1
Cluster 15193,1,1
Cluster 15194,1,1
Cluster 15195,1,1
Cluster 15206,1,1
Cluster 15211,1,1
Cluster 15213,1,1
Cluster 15242,1,1
Cluster 15252,1,1
Cluster 15280,1,1
Cluster 15283,1,1
Cluster 15292,1,1
Cluster 15293,1,1
Cluster 15297,1,1
Cluster 15301,1,1
Cluster 15302,1,1
Cluster 15304,1,1
Cluster 15308,1,1
Cluster 15316,1,1
Cluster 15339,1,1
Cluster 15350,1,1
Cluster 15357,1,1
Cluster 15365,1,1
Cluster 15379,1,1
Cluster 1538,1,1
Cluster 15383,1,1
Cluster 15388,1,1
Cluster 15399,1,1
Cluster 15400,1,1
Cluster 15406,1,1
Cluster 15408,1,1
Cluster 15409,1,1
Cluster 15411,1,1
Cluster 15423,1,1
Cluster 15435,1,1
Cluster 15457,1,1
Cluster 15461,1,1
Cluster 15463,1,1
Cluster 15464,1,1
Cluster 15472,1,1
Cluster 15474,1,1
Cluster 15478,1,1
Cluster 15487,1,1
Cluster 1549,1,1
Cluster 15495,1,1
Cluster 15497,1,1
Cluster 15500,1,1
Cluster 15507,1,1
Cluster 1551,1,1
Cluster 15514,1,1
Cluster 15521,1,1
Cluster 15526,1,1
Cluster 15528,1,1
Cluster 15566,1,1
Cluster 15572,1,1
Cluster 15576,1,1
Cluster 15584,1,1
Cluster 15593,1,1
Cluster 15598,1,1
Cluster 15599,1,1
Cluster 1560,1,1
Cluster 15606,1,1
Cluster 15607,1,1
Cluster 15611,1,1
Cluster 15625,1,1
Cluster 15636,1,1
Cluster 15648,1,1
Cluster 1565,1,1
Cluster 15653,1,1
Cluster 1566,1,1
Cluster 15661,1,1
Cluster 15669,1,1
Cluster 15676,1,1
Cluster 15677,1,1
Cluster 15682,1,1
Cluster 15684,1,1
Cluster 15696,1,1
Cluster 15698,1,1
Cluster 15701,1,1
Cluster 15705,1,1
Cluster 15713,1,1
Cluster 15724,1,1
Cluster 15725,1,1
Cluster 15727,1,1
Cluster 15730,1,1
Cluster 15735,1,1
Cluster 1574,1,1
Cluster 15746,1,1
Cluster 15747,1,1
Cluster 1575,1,1
Cluster 15752,1,1
Cluster 1576,1,1
Cluster 15775,1,1
Cluster 15777,1,1
Cluster 15779,1,1
Cluster 15799,1,1
Cluster 158,1,1
Cluster 15812,1,1
Cluster 15824,1,1
Cluster 15826,1,1
Cluster 15838,1,1
Cluster 1584,1,1
Cluster 15840,1,1
Cluster 15846,1,1
Cluster 15863,1,1
Cluster 15865,1,1
Cluster 15870,1,1
Cluster 15886,1,1
Cluster 15890,1,1
Cluster 15891,1,1
Cluster 15894,1,1
Cluster 15896,1,1
Cluster 15900,1,1
Cluster 15912,1,1
Cluster 15929,1,1
Cluster 15933,1,1
Cluster 15937,1,1
Cluster 15939,1,1
Cluster 1594,1,1
Cluster 15948,1,1
Cluster 1595,1,1
Cluster 15961,1,1
Cluster 15965,1,1
Cluster 15972,1,1
Cluster 15974,1,1
Cluster 15978,1,1
Cluster 15979,1,1
Cluster 1598,1,1
Cluster 15984,1,1
Cluster 15994,1,1
Cluster 15997,1,1
Cluster 1600,1,1
Cluster 16000,1,1
Cluster 16007,1,1
Cluster 16016,1,1
Cluster 16026,1,1
Cluster 16033,1,1
Cluster 16038,1,1
Cluster 16039,1,1
Cluster 16044,1,1
Cluster 16045,1,1
Cluster 16055,1,1
Cluster 16056,1,1
Cluster 16057,1,1
Cluster 16060,1,1
Cluster 16062,1,1
Cluster 16070,1,1
Cluster 16077,1,1
Cluster 16088,1,1
Cluster 16091,1,1
Cluster 16093,1,1
Cluster 16101,1,1
Cluster 16102,1,1
Cluster 16121,1,1
Cluster 16123,1,1
Cluster 16126,1,1
Cluster 16153,1,1
Cluster 16161,1,1
Cluster 16190,1,1
Cluster 16191,1,1
Cluster 162,1,1
Cluster 16208,1,1
Cluster 16219,1,1
Cluster 16220,1,1
Cluster 16221,1,1
Cluster 16234,1,1
Cluster 16237,1,1
Cluster 16242,1,1
Cluster 16248,1,1
Cluster 1626,1,1
Cluster 16264,1,1
Cluster 16268,1,1
Cluster 16275,1,1
Cluster 16278,1,1
Cluster 1628,1,1
Cluster 16293,1,1
Cluster 16297,1,1
Cluster 16301,1,1
Cluster 16303,1,1
Cluster 16308,1,1
Cluster 16311,1,1
Cluster 16312,1,1
Cluster 1632,1,1
Cluster 16323,1,1
Cluster 16335,1,1
Cluster 16341,1,1
Cluster 16359,1,1
Cluster 16366,1,1
Cluster 16370,1,1
Cluster 16374,1,1
Cluster 16382,1,1
Cluster 16384,1,1
Cluster 16389,1,1
Cluster 16394,1,1
Cluster 16403,1,1
Cluster 16405,1,1
Cluster 16408,1,1
Cluster 16409,1,1
Cluster 16411,1,1
Cluster 16415,1,1
Cluster 16423,1,1
Cluster 16425,1,1
Cluster 16435,1,1
Cluster 16436,1,1
Cluster 16441,1,1
Cluster 16451,1,1
Cluster 16453,1,1
Cluster 16457,1,1
Cluster 16458,1,1
Cluster 16462,1,1
Cluster 16469,1,1
Cluster 16484,1,1
Cluster 1649,1,1
Cluster 16490,1,1
Cluster 16497,1,1
Cluster 16498,1,1
Cluster 165,1,1
Cluster 16509,1,1
Cluster 16523,1,1
Cluster 16534,1,1
Cluster 16537,1,1
Cluster 1655,1,1
Cluster 16554,1,1
Cluster 16556,1,1
Cluster 16559,1,1
Cluster 16561,1,1
Cluster 16564,1,1
Cluster 16566,1,1
Cluster 16569,1,1
Cluster 16571,1,1
Cluster 16579,1,1
Cluster 16582,1,1
Cluster 16595,1,1
Cluster 16600,1,1
Cluster 16605,1,1
Cluster 16607,1,1
Cluster 16615,1,1
Cluster 16618,1,1
Cluster 16619,1,1
Cluster 16621,1,1
Cluster 16623,1,1
Cluster 16626,1,1
Cluster 16630,1,1
Cluster 16631,1,1
Cluster 16637,1,1
Cluster 16639,1,1
Cluster 16653,1,1
Cluster 16690,1,1
Cluster 16694,1,1
Cluster 16704,1,1
Cluster 16706,1,1
Cluster 16709,1,1
Cluster 1671,1,1
Cluster 16711,1,1
Cluster 16716,1,1
Cluster 16718,1,1
Cluster 16729,1,1
Cluster 16733,1,1
Cluster 16738,1,1
Cluster 16740,1,1
Cluster 16742,1,1
Cluster 16761,1,1
Cluster 16766,1,1
Cluster 16769,1,1
Cluster 16775,1,1
Cluster 16776,1,1
Cluster 16777,1,1
Cluster 16789,1,1
Cluster 16796,1,1
Cluster 16797,1,1
Cluster 16798,1,1
Cluster 16802,1,1
Cluster 16809,1,1
Cluster 16811,1,1
Cluster 16813,1,1
Cluster 16817,1,1
Cluster 16818,1,1
Cluster 16823,1,1
Cluster 16825,1,1
Cluster 16828,1,1
Cluster 16836,1,1
Cluster 16843,1,1
Cluster 16848,1,1
Cluster 1685,1,1
Cluster 16862,1,1
Cluster 16868,1,1
Cluster 1687,1,1
Cluster 1691,1,1
Cluster 16925,1,1
Cluster 16928,1,1
Cluster 16933,1,1
Cluster 16943,1,1
Cluster 16945,1,1
Cluster 1695,1,1
Cluster 16956,1,1
Cluster 16969,1,1
Cluster 1698,1,1
Cluster 16983,1,1
Cluster 16986,1,1
Cluster 16987,1,1
Cluster 16995,1,1
Cluster 17000,1,1
Cluster 17006,1,1
Cluster 17008,1,1
Cluster 17010,1,1
Cluster 17013,1,1
Cluster 17019,1,1
Cluster 1702,1,1
Cluster 17020,1,1
Cluster 17021,1,1
Cluster 17033,1,1
Cluster 17035,1,1
Cluster 17037,1,1
Cluster 17043,1,1
Cluster 17044,1,1
Cluster 17048,1,1
Cluster 17052,1,1
Cluster 17060,1,1
Cluster 17063,1,1
Cluster 17072,1,1
Cluster 17076,1,1
Cluster 17083,1,1
Cluster 17097,1,1
Cluster 17098,1,1
Cluster 17103,1,1
